state,district,rain_gfs_mm,imd_mean_mm,bias_factor,rain_gfs_bc_mm,rain_icon_mm,alert_gfs_bc,alert_icon,date,cycle_utc,gfs_cal_factor,gfs_cal_threshold_mm,gfs_cal_samples,rain_gfs_cal_mm,alert_gfs_raw,alert_gfs_cal
Uttar Pradesh,Chitrakoot,12.60000015515834,2.43182191359262,0.3,3.780000046547502,0.0,NO ALERT,NO ALERT,20260706,18,1.0,12.0,0,12.60000015515834,MODERATE,MODERATE
Uttar Pradesh,Fatehpur,14.598214365541937,1.1844348627527166,0.3,4.3794643096625805,0.0,NO ALERT,NO ALERT,20260706,18,1.0,12.0,0,14.598214365541937,MODERATE,MODERATE
Uttar Pradesh,Hamirpur,12.285714209079742,3.1435973940792614,0.3,3.6857142627239226,0.0,NO ALERT,NO ALERT,20260706,18,1.0,12.0,0,12.285714209079742,MODERATE,MODERATE
Uttar Pradesh,Jalaun,10.708333149552343,2.268806276490835,0.3,3.212499944865704,0.0,NO ALERT,NO ALERT,20260706,18,1.0,12.0,0,10.708333149552343,MODERATE,MODERATE
Uttar Pradesh,Jaunpur,10.796875,2.153585032429801,0.3,3.2390625,0.0,NO ALERT,NO ALERT,20260706,18,1.0,12.0,0,10.796875,MODERATE,MODERATE
Uttar Pradesh,Jhansi,10.319444451481104,2.4427702791455856,0.3,3.0958333354443317,0.0,NO ALERT,NO ALERT,20260706,18,1.0,12.0,0,10.319444451481104,MODERATE,MODERATE
Uttar Pradesh,Lalitpur,13.3828125,3.630254178575865,0.3,4.01484375,0.0,NO ALERT,NO ALERT,20260706,18,1.0,12.0,0,13.3828125,MODERATE,MODERATE
Uttar Pradesh,Mahoba,16.062499821186066,2.7896357897958253,0.3,4.81874994635582,0.0,NO ALERT,NO ALERT,20260706,18,1.0,12.0,0,16.062499821186066,MODERATE,MODERATE
Uttar Pradesh,Rae Bareli,17.484375,1.836044066968336,0.3,5.2453125,0.0,NO ALERT,NO ALERT,20260706,18,1.0,12.0,0,17.484375,MODERATE,MODERATE
Uttar Pradesh,Unnao,10.22916657757014,1.5974721783848658,0.3,3.068749973271042,0.0,NO ALERT,NO ALERT,20260706,18,1.0,12.0,0,10.22916657757014,MODERATE,MODERATE
West Bengal,Darjiling,23.962500423192974,9.39820148940364,0.3922045414053388,9.39820148940364,0.0,NO ALERT,NO ALERT,20260706,18,0.9078632548197261,12.0,5,21.754673627819038,MODERATE,MODERATE
West Bengal,Jalpaiguri,33.86111068725586,9.486329433095149,0.3,10.158333206176758,0.0,MODERATE,NO ALERT,20260706,18,0.25,12.0,2,8.465277671813965,MODERATE,NO ALERT
West Bengal,Kochbihar,25.953125,8.557048504983317,0.3297116823112175,8.557048504983317,0.0,NO ALERT,NO ALERT,20260706,18,0.25,12.0,1,6.48828125,MODERATE,NO ALERT
West Bengal,North 24 Parganas,10.2578125,5.458729233679502,0.5321533449436224,5.458729233679502,0.0,NO ALERT,NO ALERT,20260706,18,1.080243605598056,12.0,3,10.2578125,MODERATE,MODERATE
West Bengal,South 24 Parganas,12.453125,5.308370489129567,0.4262681446728887,5.308370489129567,0.0,NO ALERT,NO ALERT,20260706,18,1.0,12.0,0,12.453125,MODERATE,MODERATE
West Bengal,Uttar Dinajpur,10.95000021532178,4.885033600473241,0.4461217812249776,4.885033600473241,0.0,NO ALERT,NO ALERT,20260706,18,1.0,12.0,0,10.95000021532178,MODERATE,MODERATE
