unit_type,unit_id,unit_name,basin,sub_basin,area_sqkm,rain_gfs_mm,imd_mean_mm,bias_factor,rain_gfs_bc_mm,rain_icon_mm,alert_gfs_bc,alert_icon,date,cycle_utc
watershed,A01BAM36,Watershed A01BAM36,Indus (Up to border) Basin,Barmer,529.14401778,1.625,0.7943397439505956,0.4888244578157511,0.7943397439505956,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BAM37,Watershed A01BAM37,Indus (Up to border) Basin,Barmer,415.18570387,2.3125,0.8314632957928801,0.3595516954780022,0.83146329579288,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BAM38,Watershed A01BAM38,Indus (Up to border) Basin,Barmer,710.19396167,0.0,0.0,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA01,Watershed A01BEA01,Indus (Up to border) Basin,Beas,543.14932091,0.75,3.0132859764850304,3.0,2.25,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA02,Watershed A01BEA02,Indus (Up to border) Basin,Beas,658.28657584,2.5625,3.7409381472901124,1.4598783013815073,3.7409381472901124,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA03,Watershed A01BEA03,Indus (Up to border) Basin,Beas,814.76692533,3.5,4.590581600755861,1.3115947430731032,4.590581600755861,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA04,Watershed A01BEA04,Indus (Up to border) Basin,Beas,572.33099057,8.125,4.344780889643382,0.534742263340724,4.344780889643382,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA05,Watershed A01BEA05,Indus (Up to border) Basin,Beas,884.03245015,7.1875,4.306071190209422,0.5991055568987022,4.306071190209422,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA06,Watershed A01BEA06,Indus (Up to border) Basin,Beas,731.03869751,6.208333333333334,4.220898680674703,0.6798762975583414,4.220898680674703,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA07,Watershed A01BEA07,Indus (Up to border) Basin,Beas,652.2686453,0.0,0.0,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA08,Watershed A01BEA08,Indus (Up to border) Basin,Beas,661.09720271,7.0625,4.84678367588618,0.6862702549927335,4.84678367588618,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA09,Watershed A01BEA09,Indus (Up to border) Basin,Beas,781.35199005,6.0,4.910786267829268,0.8184643779715447,4.910786267829268,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA10,Watershed A01BEA10,Indus (Up to border) Basin,Beas,416.30160737,2.3125,5.261687357090924,2.275324262525805,5.261687357090924,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA11,Watershed A01BEA11,Indus (Up to border) Basin,Beas,541.67244325,6.5,7.306575679064614,1.1240885660099407,7.306575679064615,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA12,Watershed A01BEA12,Indus (Up to border) Basin,Beas,404.24676634,0.0,0.0,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA13,Watershed A01BEA13,Indus (Up to border) Basin,Beas,590.355931,3.75,7.324775285100284,1.9532734093600757,7.324775285100284,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA14,Watershed A01BEA14,Indus (Up to border) Basin,Beas,659.14079987,2.8125,6.231119344261003,2.21550910018169,6.231119344261003,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA15,Watershed A01BEA15,Indus (Up to border) Basin,Beas,526.12618996,0.0,0.0,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA16,Watershed A01BEA16,Indus (Up to border) Basin,Beas,582.43765061,0.625,5.249693660744249,3.0,1.875,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA17,Watershed A01BEA17,Indus (Up to border) Basin,Beas,420.23914665,0.0,0.0,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA18,Watershed A01BEA18,Indus (Up to border) Basin,Beas,390.59715869,9.0,6.209099821644287,0.6898999801826986,6.209099821644287,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA19,Watershed A01BEA19,Indus (Up to border) Basin,Beas,680.10694914,1.1875,7.4823707397465835,3.0,3.5625,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA20,Watershed A01BEA20,Indus (Up to border) Basin,Beas,850.78470787,4.125,5.563774659515244,1.3487938568521802,5.563774659515244,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA21,Watershed A01BEA21,Indus (Up to border) Basin,Beas,485.80524927,0.0,0.0,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA22,Watershed A01BEA22,Indus (Up to border) Basin,Beas,642.65531905,18.8125,6.117097135970037,0.3251613095532246,6.117097135970037,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA23,Watershed A01BEA23,Indus (Up to border) Basin,Beas,999.14399955,2.625,4.430342171963764,1.6877493988433385,4.430342171963764,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA24,Watershed A01BEA24,Indus (Up to border) Basin,Beas,903.04758456,0.21875,3.3389890618622307,3.0,0.65625,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA25,Watershed A01BEA25,Indus (Up to border) Basin,Beas,388.74596901,0.0,2.817764380186388,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA26,Watershed A01BEA26,Indus (Up to border) Basin,Beas,548.94656236,0.0,0.0,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA27,Watershed A01BEA27,Indus (Up to border) Basin,Beas,643.27145021,0.0,3.1697638614128714,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA28,Watershed A01BEA28,Indus (Up to border) Basin,Beas,702.36918848,0.0,2.1046503440158006,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA29,Watershed A01BEA29,Indus (Up to border) Basin,Beas,574.24242496,0.125,3.961192847482146,3.0,0.375,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01BEA30,Watershed A01BEA30,Indus (Up to border) Basin,Beas,753.91501005,0.0625,2.1470349077186355,1.0,0.0625,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA01,Watershed A01CHA01,Indus (Up to border) Basin,Chautang and others,704.87175163,0.0,2.1996071173720164,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA02,Watershed A01CHA02,Indus (Up to border) Basin,Chautang and others,683.04618271,0.0,0.0,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA03,Watershed A01CHA03,Indus (Up to border) Basin,Chautang and others,668.15480234,0.0,2.018632038897031,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA04,Watershed A01CHA04,Indus (Up to border) Basin,Chautang and others,1028.66218883,0.0,1.4131083444169121,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA05,Watershed A01CHA05,Indus (Up to border) Basin,Chautang and others,942.53116185,0.8125,1.3263408535351493,1.6324195120432607,1.3263408535351493,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA06,Watershed A01CHA06,Indus (Up to border) Basin,Chautang and others,842.03472109,0.125,1.556479616483597,3.0,0.375,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA07,Watershed A01CHA07,Indus (Up to border) Basin,Chautang and others,717.55449015,0.0,1.370168442187244,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA08,Watershed A01CHA08,Indus (Up to border) Basin,Chautang and others,337.17140251,0.0,0.0,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA09,Watershed A01CHA09,Indus (Up to border) Basin,Chautang and others,774.41829238,0.0,2.141530951428903,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA10,Watershed A01CHA10,Indus (Up to border) Basin,Chautang and others,388.28061643,0.0,0.0,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA11,Watershed A01CHA11,Indus (Up to border) Basin,Chautang and others,514.80039494,0.8125,1.565454417752893,1.9267131295420223,1.565454417752893,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA12,Watershed A01CHA12,Indus (Up to border) Basin,Chautang and others,778.63375813,4.3125,1.9238482505083083,0.4461097392483034,1.9238482505083083,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA13,Watershed A01CHA13,Indus (Up to border) Basin,Chautang and others,326.2726744,0.0,0.0,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA14,Watershed A01CHA14,Indus (Up to border) Basin,Chautang and others,609.37373152,1.1875,2.019692518653935,1.7007936999191031,2.019692518653935,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA15,Watershed A01CHA15,Indus (Up to border) Basin,Chautang and others,624.98291999,1.5,2.6178571911707316,1.7452381274471545,2.6178571911707316,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA16,Watershed A01CHA16,Indus (Up to border) Basin,Chautang and others,960.83853112,0.875,2.4483322312060283,2.7980939785211754,2.4483322312060283,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA17,Watershed A01CHA17,Indus (Up to border) Basin,Chautang and others,802.34356069,0.3125,2.3803093078201765,3.0,0.9375,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA18,Watershed A01CHA18,Indus (Up to border) Basin,Chautang and others,330.56808822,0.25,2.1836393390616324,3.0,0.75,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA19,Watershed A01CHA19,Indus (Up to border) Basin,Chautang and others,811.01638774,1.0,2.548266901259553,2.548266901259553,2.548266901259553,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA20,Watershed A01CHA20,Indus (Up to border) Basin,Chautang and others,488.06822842,1.375,2.363460393597002,1.718880286252365,2.363460393597002,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA21,Watershed A01CHA21,Indus (Up to border) Basin,Chautang and others,654.67021434,0.59375,2.2856365010142325,3.0,1.78125,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA22,Watershed A01CHA22,Indus (Up to border) Basin,Chautang and others,1405.47749769,0.5,2.239073753928485,3.0,1.5,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA23,Watershed A01CHA23,Indus (Up to border) Basin,Chautang and others,895.41510242,0.75,1.7902142633109877,2.386952351081317,1.7902142633109877,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA24,Watershed A01CHA24,Indus (Up to border) Basin,Chautang and others,473.48451164,0.0,0.0,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA25,Watershed A01CHA25,Indus (Up to border) Basin,Chautang and others,500.3391306,1.375,2.3134764148152036,1.6825283016837844,2.3134764148152036,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA26,Watershed A01CHA26,Indus (Up to border) Basin,Chautang and others,729.64424185,1.125,1.4541372219585393,1.2925664195187017,1.4541372219585393,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA27,Watershed A01CHA27,Indus (Up to border) Basin,Chautang and others,1140.40926567,1.0208333333333335,1.552932407308931,1.5212399092005853,1.552932407308931,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA28,Watershed A01CHA28,Indus (Up to border) Basin,Chautang and others,541.49565456,0.0,0.0,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA29,Watershed A01CHA29,Indus (Up to border) Basin,Chautang and others,609.30316423,0.0,0.0,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA30,Watershed A01CHA30,Indus (Up to border) Basin,Chautang and others,908.32110925,0.0,0.0,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA31,Watershed A01CHA31,Indus (Up to border) Basin,Chautang and others,774.53300362,1.125,1.0673334666719176,0.9487408592639268,1.0673334666719176,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA32,Watershed A01CHA32,Indus (Up to border) Basin,Chautang and others,585.13772244,2.03125,1.372678040906991,0.6757799586003648,1.372678040906991,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA33,Watershed A01CHA33,Indus (Up to border) Basin,Chautang and others,923.04492682,1.875,2.880413897253879,1.5362207452020689,2.880413897253879,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA34,Watershed A01CHA34,Indus (Up to border) Basin,Chautang and others,703.68696516,0.0,0.0,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA35,Watershed A01CHA35,Indus (Up to border) Basin,Chautang and others,490.44399998,1.1875,2.341197838807759,1.9715350221539023,2.341197838807759,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA36,Watershed A01CHA36,Indus (Up to border) Basin,Chautang and others,448.14271624,0.0,0.0,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA37,Watershed A01CHA37,Indus (Up to border) Basin,Chautang and others,1122.36796389,4.375,2.1913005559922083,0.5008686985125047,2.1913005559922083,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA38,Watershed A01CHA38,Indus (Up to border) Basin,Chautang and others,543.36177183,0.0,0.0,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHA39,Watershed A01CHA39,Indus (Up to border) Basin,Chautang and others,921.34212944,0.8125,1.6011646973556035,1.9706642428992043,1.6011646973556035,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHE01,Watershed A01CHE01,Indus (Up to border) Basin,Chenab,700.06755505,0.5625,1.9832157335256877,3.0,1.6875,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHE02,Watershed A01CHE02,Indus (Up to border) Basin,Chenab,636.57427696,0.0,0.0,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHE03,Watershed A01CHE03,Indus (Up to border) Basin,Chenab,499.8270915,1.25,2.559220401575304,2.047376321260243,2.559220401575304,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHE04,Watershed A01CHE04,Indus (Up to border) Basin,Chenab,518.75547819,5.65625,3.3732859921679923,0.5963820538639545,3.3732859921679927,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHE05,Watershed A01CHE05,Indus (Up to border) Basin,Chenab,684.1201345,4.375,2.820506547697603,0.6446872109023092,2.820506547697603,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHE06,Watershed A01CHE06,Indus (Up to border) Basin,Chenab,947.23171135,3.6875,3.1926056592840037,0.8657913652295604,3.1926056592840037,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHE07,Watershed A01CHE07,Indus (Up to border) Basin,Chenab,863.72284317,0.0,0.0,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHE08,Watershed A01CHE08,Indus (Up to border) Basin,Chenab,541.53485893,0.0,0.0,1.0,0.0,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHE09,Watershed A01CHE09,Indus (Up to border) Basin,Chenab,410.92514155,5.3125,2.58945285126771,0.4874264190621572,2.58945285126771,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHE10,Watershed A01CHE10,Indus (Up to border) Basin,Chenab,721.75313483,10.4375,2.690362981084275,0.3,3.13125,0.0,NO ALERT,NO ALERT,20260706,12
watershed,A01CHE11,Watershed A01CHE11,Indus (Up to border) Basin,Chenab,671.57864343,11.46875,2.6990923832540643,0.3,3.440625,0.0,NO ALERT,NO ALERT,20260706,12
