district,basin
Surendranagar,West flowing rivers of Kutch and Saurashtra including Luni Basin
Surendranagar,Sabarmati Basin
The Dangs,West flowing rivers South of Tapi Basin
The Dangs,Tapi Basin
Vadodara,Narmada Basin
Vadodara,Mahi Basin
Valsad,West flowing rivers South of Tapi Basin
Ambala,Indus (Up to border) Basin
Bhiwani,Indus (Up to border) Basin
Faridabad,Ganga Basin
Fatehabad,Indus (Up to border) Basin
Gurgaon,Ganga Basin
Hisar,Indus (Up to border) Basin
Jhajjar,Indus (Up to border) Basin
Jhajjar,Ganga Basin
Jind,Indus (Up to border) Basin
Jind,Ganga Basin
Kaithal,Indus (Up to border) Basin
Karnal,Indus (Up to border) Basin
Karnal,Ganga Basin
Kurukshetra,Indus (Up to border) Basin
Kurukshetra,Ganga Basin
Mahendragarh,Indus (Up to border) Basin
Mahendragarh,Ganga Basin
Panchkula,Indus (Up to border) Basin
Panipat,Indus (Up to border) Basin
Panipat,Ganga Basin
Rewari,Indus (Up to border) Basin
Rewari,Ganga Basin
Rohtak,Indus (Up to border) Basin
Rohtak,Ganga Basin
Sirsa,Indus (Up to border) Basin
Sonepat,Indus (Up to border) Basin
Sonepat,Ganga Basin
Yamuna Nagar,Ganga Basin
Yamuna Nagar,Indus (Up to border) Basin
Bilaspur,Indus (Up to border) Basin
Chamba,Indus (Up to border) Basin
Hamirpur,Indus (Up to border) Basin
Kangra,Indus (Up to border) Basin
Kinnaur,Ganga Basin
Kinnaur,Indus (Up to border) Basin
Kullu,Indus (Up to border) Basin
Lahul and Spiti,Indus (Up to border) Basin
Mandi,Indus (Up to border) Basin
Shimla,Ganga Basin
Shimla,Indus (Up to border) Basin
Sirmaur,Ganga Basin
Sirmaur,Indus (Up to border) Basin
Solan,Ganga Basin
Solan,Indus (Up to border) Basin
Una,Indus (Up to border) Basin
Anantnag (Kashmir South),Indus (Up to border) Basin
Bagdam,Indus (Up to border) Basin
Baramula (Kashmir North),Indus (Up to border) Basin
Doda,Indus (Up to border) Basin
Jammu,Indus (Up to border) Basin
Kargil,Indus (Up to border) Basin
Kathua,Indus (Up to border) Basin
Kupwara (Muzaffarabad),Indus (Up to border) Basin
Ladakh (Leh),Indus (Up to border) Basin
Pulwama,Indus (Up to border) Basin
Punch,Indus (Up to border) Basin
Rajauri,Indus (Up to border) Basin
Srinagar,Indus (Up to border) Basin
Udhampur,Indus (Up to border) Basin
Bokaro,Subernarekha Basin
Bokaro,Ganga Basin
Chatra,Ganga Basin
Deoghar,Ganga Basin
Dhanbad,Ganga Basin
Dumka,Ganga Basin
Garhwa,Ganga Basin
Giridih,Ganga Basin
Godda,Ganga Basin
Gumla,Brahmani and Baitarni Basin
Gumla,Ganga Basin
Hazaribag,Subernarekha Basin
Hazaribag,Ganga Basin
Jamtara,Ganga Basin
Koderma,Ganga Basin
Latehar,Brahmani and Baitarni Basin
Latehar,Ganga Basin
Lohardaga,Brahmani and Baitarni Basin
Lohardaga,Ganga Basin
