parent_type,parent_id,parent_name,parent_key,parent_state,parent_basin,parent_sub_basin,child_type,child_id,child_name,child_key,child_state,child_basin,child_sub_basin,intersection_area_sqkm,parent_overlap_pct,child_overlap_pct
subbasin,BAI,Baitarni,subbasin||BAI,,Brahmani and Baitarni Basin,Baitarni,district,Odisha||Keonjhar (Kendujhar),Keonjhar (Kendujhar),district||Odisha||Keonjhar (Kendujhar),Odisha,,,6696.0181,44.92,80.72
subbasin,BAI,Baitarni,subbasin||BAI,,Brahmani and Baitarni Basin,Baitarni,district,Odisha||Mayurbhanj,Mayurbhanj,district||Odisha||Mayurbhanj,Odisha,,,3020.6803,20.26,29.02
subbasin,BAI,Baitarni,subbasin||BAI,,Brahmani and Baitarni Basin,Baitarni,district,Odisha||Sundargarh,Sundargarh,district||Odisha||Sundargarh,Odisha,,,183.0158,1.23,1.88
subbasin,BAI,Baitarni,subbasin||BAI,,Brahmani and Baitarni Basin,Baitarni,district,Jharkhand||West Singhbhum,West Singhbhum,district||Jharkhand||West Singhbhum,Jharkhand,,,692.1657,4.64,9.57
subbasin,BAN,Banas,subbasin||BAN,,Ganga Basin,Banas,district,Rajasthan||Ajmer,Ajmer,district||Rajasthan||Ajmer,Rajasthan,,,6538.8512,12.18,77.08
subbasin,BAN,Banas,subbasin||BAN,,Ganga Basin,Banas,district,Rajasthan||Bhilwara,Bhilwara,district||Rajasthan||Bhilwara,Rajasthan,,,9436.2859,17.57,89.99
subbasin,BAN,Banas,subbasin||BAN,,Ganga Basin,Banas,district,Rajasthan||Bundi,Bundi,district||Rajasthan||Bundi,Rajasthan,,,168.2905,0.31,2.91
subbasin,BAN,Banas,subbasin||BAN,,Ganga Basin,Banas,district,Rajasthan||Chittaurgarh,Chittaurgarh,district||Rajasthan||Chittaurgarh,Rajasthan,,,5471.6367,10.19,70.11
subbasin,BAN,Banas,subbasin||BAN,,Ganga Basin,Banas,district,Rajasthan||Dausa,Dausa,district||Rajasthan||Dausa,Rajasthan,,,1182.5187,2.2,34.62
subbasin,BAN,Banas,subbasin||BAN,,Ganga Basin,Banas,district,Rajasthan||Jaipur,Jaipur,district||Rajasthan||Jaipur,Rajasthan,,,8455.1617,15.75,75.93
subbasin,BAN,Banas,subbasin||BAN,,Ganga Basin,Banas,district,Rajasthan||Karauli,Karauli,district||Rajasthan||Karauli,Rajasthan,,,1123.6632,2.09,22.39
subbasin,BAN,Banas,subbasin||BAN,,Ganga Basin,Banas,district,Rajasthan||Nagaur,Nagaur,district||Rajasthan||Nagaur,Rajasthan,,,1447.8248,2.7,8.13
