state,district,rain_gfs_mm,imd_mean_mm,bias_factor,rain_gfs_bc_mm,rain_icon_mm,alert_gfs_raw,alert_gfs_bc,alert_icon,gfs_cal_factor,gfs_cal_threshold_mm,gfs_cal_samples,rain_gfs_cal_mm,alert_gfs_cal,date,cycle_utc
Assam,Sibsagar,29.208333060145378,5.58661788282193,0.3,8.762499918043613,0.0,MODERATE,NO ALERT,NO ALERT,1.029005446585717,12.0,11,30.05553380457926,MODERATE,20260711,06
Assam,Sonitpur,18.950000189244747,5.10844658204954,0.3,5.685000056773424,0.0,MODERATE,NO ALERT,NO ALERT,0.9299171367562996,12.0,17,17.62192991751381,MODERATE,20260711,06
Assam,Tinsukia,23.687500469386578,5.118477881134373,0.3,7.106250140815973,0.0,MODERATE,NO ALERT,NO ALERT,0.5559786457731861,12.0,12,13.16974443272126,MODERATE,20260711,06
Bihar,Araria,14.34375,3.4563262750381885,0.3,4.303125,0.0,MODERATE,NO ALERT,NO ALERT,2.2109483205783134,12.0,11,31.713289973295183,MODERATE,20260711,06
Bihar,Aurangabad,0.2708333283662796,2.435437284076595,3.0,0.8124999850988388,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,0.2708333283662796,NO ALERT,20260711,06
Bihar,Banka,0.328125,3.132104997132739,3.0,0.984375,0.0,NO ALERT,NO ALERT,NO ALERT,0.5203012470559124,12.0,2,0.328125,NO ALERT,20260711,06
Bihar,Begusarai,1.5,3.9943963094321018,2.6629308729547345,3.9943963094321018,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,1.5,NO ALERT,20260711,06
Bihar,Bhabua,0.09374999813735485,2.612368947774444,1.0,0.09374999813735485,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,0.09374999813735485,NO ALERT,20260711,06
Bihar,Bhagalpur,0.5000000111758709,2.627949439710406,3.0,1.5000000335276127,0.0,NO ALERT,NO ALERT,NO ALERT,1.4108426549646973,12.0,1,0.5000000111758709,NO ALERT,20260711,06
Bihar,Bhojpur,1.375,2.0000855676319502,1.4546076855505092,2.0000855676319502,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,1.375,NO ALERT,20260711,06
Bihar,Buxar,1.75,2.5236547584811304,1.4420884334177888,2.5236547584811304,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,1.75,NO ALERT,20260711,06
Bihar,Darbhanga,4.0625,3.094437751617946,0.7617077542444175,3.094437751617946,0.0,NO ALERT,NO ALERT,NO ALERT,1.0,12.0,0,4.0625,NO ALERT,20260711,06
