unit_type,unit_id,unit_name,basin,sub_basin,area_sqkm,state,district,forecast_issue_date,cycle_utc,forecast_issue_time_utc,valid_start_utc,valid_end_utc,valid_date,rain_forecast_daily_mm,rain_gfs_24h_mm,bias_factor,rain_gfs_bc_24h_mm,gfs_cal_factor,gfs_cal_threshold_mm,gfs_cal_samples,rain_gfs_cal_24h_mm,rain_icon_24h_mm,imd_observed_mm,observed_status,error_gfs_raw_mm,abs_error_gfs_raw_mm,pct_error_gfs_raw,updated_at_utc
district,Kerala||Alappuzha,Alappuzha,,,,Kerala,Alappuzha,20260703,18,2026-07-03 18:00:00,2026-07-03 18:00:00,2026-07-04 18:00:00,20260704,11.3125,11.3125,0.8070860638297642,9.130161097074208,3.714273474885804,12.0,2,11.3125,0.0,73.11003112792969,MATCHED,-61.79753112792969,61.79753112792969,-84.52674711599408,2026-07-03 23:48:44
district,Uttar Pradesh||Aligarh,Aligarh,,,,Uttar Pradesh,Aligarh,20260703,06,2026-07-03 06:00:00,2026-07-03 06:00:00,2026-07-04 06:00:00,20260704,0.3229166576638818,0.3229166576638818,3.0,0.9687499729916452,1.0,12.0,0,0.3229166576638818,0.0,0.9830539027849832,MATCHED,-0.6601372451211014,0.6601372451211014,-67.15168346831626,2026-07-03 12:56:55
district,Uttar Pradesh||Aligarh,Aligarh,,,,Uttar Pradesh,Aligarh,20260703,12,2026-07-03 12:00:00,2026-07-03 12:00:00,2026-07-04 12:00:00,20260704,0.0,0.0,1.0,0.0,1.0,12.0,0,0.0,0.0,0.9830539027849832,MATCHED,-0.9830539027849832,0.9830539027849832,-100.0,2026-07-03 17:42:45
district,Uttar Pradesh||Aligarh,Aligarh,,,,Uttar Pradesh,Aligarh,20260703,18,2026-07-03 18:00:00,2026-07-03 18:00:00,2026-07-04 18:00:00,20260704,0.0,0.0,1.0,0.0,1.0,12.0,0,0.0,0.0,0.9830539027849832,MATCHED,-0.9830539027849832,0.9830539027849832,-100.0,2026-07-03 23:48:44
district,Uttar Pradesh||Allahabad,Allahabad,,,,Uttar Pradesh,Allahabad,20260703,06,2026-07-03 06:00:00,2026-07-03 06:00:00,2026-07-04 06:00:00,20260704,0.026785715483129,0.026785715483129,1.0,0.026785715483129,1.0,12.0,0,0.026785715483129,0.0,0.5197834149003029,MATCHED,-0.49299769941717386,0.49299769941717386,-94.84675449133623,2026-07-03 12:56:55
district,Uttar Pradesh||Allahabad,Allahabad,,,,Uttar Pradesh,Allahabad,20260703,12,2026-07-03 12:00:00,2026-07-03 12:00:00,2026-07-04 12:00:00,20260704,0.0089285718277096,0.0089285718277096,1.0,0.0089285718277096,1.0,12.0,0,0.0089285718277096,0.0,0.5197834149003029,MATCHED,-0.5108548430725933,0.5108548430725933,-98.2822514971121,2026-07-03 17:42:45
district,Uttar Pradesh||Allahabad,Allahabad,,,,Uttar Pradesh,Allahabad,20260703,18,2026-07-03 18:00:00,2026-07-03 18:00:00,2026-07-04 18:00:00,20260704,0.0357142863795161,0.0357142863795161,1.0,0.0357142863795161,1.0,12.0,0,0.0357142863795161,0.0,0.5197834149003029,MATCHED,-0.48406912852078676,0.48406912852078676,-93.12900616762343,2026-07-03 23:48:44
district,Uttaranchal||Almora,Almora,,,,Uttaranchal,Almora,20260703,06,2026-07-03 06:00:00,2026-07-03 06:00:00,2026-07-04 06:00:00,20260704,8.875,8.875,0.3665743158098447,3.253347052812372,0.5954461527818408,12.0,6,8.875,0.0,0.3600238263607025,MATCHED,8.514976173639297,8.514976173639297,2365.114625804868,2026-07-03 12:56:55
district,Uttaranchal||Almora,Almora,,,,Uttaranchal,Almora,20260703,12,2026-07-03 12:00:00,2026-07-03 12:00:00,2026-07-04 12:00:00,20260704,6.703125,6.703125,0.485347812074573,3.253347052812372,0.5954461527818408,12.0,6,6.703125,0.0,0.3600238263607025,MATCHED,6.3431011736392975,6.3431011736392975,1761.8559409688178,2026-07-03 17:42:45
district,Uttaranchal||Almora,Almora,,,,Uttaranchal,Almora,20260703,18,2026-07-03 18:00:00,2026-07-03 18:00:00,2026-07-04 18:00:00,20260704,7.25,7.25,0.4487375245258444,3.253347052812372,0.5954461527818408,12.0,6,7.25,0.0,0.3600238263607025,MATCHED,6.8899761736392975,6.8899761736392975,1913.7556098124276,2026-07-03 23:48:44
