unit_type,unit_id,unit_name,basin,sub_basin,area_sqkm,rain_gfs_mm,imd_mean_mm,bias_factor,rain_gfs_bc_mm,rain_icon_mm,alert_gfs_bc,alert_icon,date,cycle_utc
subbasin,NAO,Naoch chara and others,Barak and others Basin,Naoch chara and others,7695.8122394600005,7.961538461538462,5.8713845428067595,0.7374685899177572,5.8713845428067595,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,NAU,Narmada Upper,Narmada Basin,Narmada Upper,43192.6765088,2.107291666666667,3.991767010199901,1.8942641274305017,3.991767010199901,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,NET,Netravati and others,West flowing rivers South of Tapi Basin,Netravati and others,18762.0879077,1.47,12.069068100071934,3.0,4.41,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,PAL,Palar and other,East flowing rivers between Pennar and Cauvery Basin,Palar and other,35392.3393366,12.033854166666666,3.4522174102446668,0.3,3.6101562499999997,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,PAM,Pamba and others,East flowing rivers South of Cauvery Basin,Pamba and others,18289.4135022,1.1302083333333333,2.4206562884253997,2.1417788358418286,2.4206562884253997,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,PAR,Periyar and others,West flowing rivers South of Tapi Basin,Periyar and others,21895.2090182,0.8771551724137931,7.677294160800128,3.0,2.6314655172413794,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,PEL,Pennar Lower,Pennar Basin,Pennar Lower,17979.8549043,5.109375,3.07848772966052,0.6025174761415085,3.07848772966052,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,PEU,Pennar Upper,Pennar Basin,Pennar Upper,36263.575012400004,8.700255102040815,2.233901494024501,0.3,2.6100765306122446,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,PON,Ponnaiyar and other,East flowing rivers between Pennar and Cauvery Basin,Ponnaiyar and other,28249.4865729,6.847972972972974,2.9394616355929566,0.42924550771362363,2.9394616355929566,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,PRA,Pranhita and others,Godavari Basin,Pranhita and others,36119.600279599996,6.10171568627451,3.9708877419892286,0.6507821645838945,3.9708877419892286,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,RAM,Ramganga,Ganga Basin,Ramganga,30839.689987,0.2552083333333333,2.9523600162691586,3.0,0.765625,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,RAN,Drainage of Rann,West flowing rivers of Kutch and Saurashtra including Luni Basin,Drainage of Rann,21229.9018898,0.06451612903225806,2.0639744231830486,1.0,0.06451612903225806,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,RAV,Ravi,Indus (Up to border) Basin,Ravi,13710.196473299999,0.33630952380952384,4.300742427600379,3.0,1.0089285714285716,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,SAL,Sabarmati Lower,Sabarmati Basin,Sabarmati Lower,10865.3209002,0.09765625,2.2147609326133684,1.0,0.09765625,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,SAR,Saraswati,West flowing rivers of Kutch and Saurashtra including Luni Basin,Saraswati,27260.8387238,0.021341463414634144,2.2501730793406844,1.0,0.021341463414634144,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,SAU,Sabarmati Upper,Sabarmati Basin,Sabarmati Upper,19813.2727963,0.07812500000000001,3.296464568593789,1.0,0.07812500000000001,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,SHE,Shetranjuli and other east flowing rivers,West flowing rivers of Kutch and Saurashtra including Luni Basin,Shetranjuli and other east flowing rivers,18221.670857200003,0.9879807692307693,2.8415888685608564,2.876158076207582,2.8415888685608564,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,SHK,Shaksgam,Area of North Ladakha not draining into Indus Basin,Shaksgam,6523.49752196,1.6931818181818181,0.8779576983242522,0.5185253520304308,0.8779576983242522,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,SHY,Shyok,Indus (Up to border) Basin,Shyok,38545.0481,0.7247983870967742,0.45176323308678157,0.6232950309069364,0.45176323308678157,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,SON,Sone,Ganga Basin,Sone,65110.052420800006,3.608247422680413,3.779033300975229,1.0473320862702775,3.779033300975229,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,SUB,Subernarekha,Subernarekha Basin,Subernarekha,25792.1620902,11.217905405405405,5.118406907181328,0.4562711773906559,5.118406907181328,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,SUL,Sutlaj Lower,Indus (Up to border) Basin,Sutlaj Lower,38442.7890103,0.0,2.1255712428198397,1.0,0.0,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,SUM,Sulmar,Area of North Ladakha not draining into Indus Basin,Sulmar,22715.7309665,1.2976973684210527,0.4742984838751511,0.3654923678023978,0.4742984838751511,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,SUU,Sutlaj Upper,Indus (Up to border) Basin,Sutlaj Upper,21439.429926099998,0.103515625,2.137101888617067,3.0,0.310546875,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,TAL,Tapi Lower,Tapi Basin,Tapi Lower,3618.19482315,2.455357142857143,5.010212144305212,2.040522764226123,5.010212144305212,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,TAM,Tapi Middle,Tapi Basin,Tapi Middle,31766.674366299998,5.305706521739131,2.576653137623802,0.4856380817646909,2.576653137623802,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,TAU,Tapi Upper,Tapi Basin,Tapi Upper,28047.339302099997,4.780523255813954,2.578611684005972,0.5393994644560987,2.578611684005972,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,TON,Tons,Ganga Basin,Tons,16905.7373669,0.20500000000000002,3.094132783799139,3.0,0.615,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,TUL,Tungabhadra Lower,Krishna Basin,Tungabhadra Lower,41556.484720199995,16.832954545454545,2.1693794920305685,0.3,5.049886363636364,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,TUU,Tungabhadra Upper,Krishna Basin,Tungabhadra Upper,28519.4094375,2.1266025641025643,3.2741116753457136,1.5395973514813301,3.2741116753457136,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,UGO,Upstream of Gomti confluece to Muzaffarnagar,Ganga Basin,Upstream of Gomti confluece to Muzaffarnagar,29061.3749822,0.005952380952380952,2.1645243354559685,1.0,0.005952380952380952,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,UIN,Upper Indus,Indus (Up to border) Basin,Upper Indus,46450.1263776,0.4005281690140845,0.9535512898693023,2.3807346489923678,0.9535512898693022,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,VAI,Vaippar and others,East flowing rivers South of Cauvery Basin,Vaippar and others,20356.688641599998,0.6435185185185185,2.3582919190371814,3.0,1.9305555555555554,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,VAM,Vamsadhara and other,East flowing rivers between Mahanadi and Godavari Basin,Vamsadhara and other,21870.633760099998,18.006048387096776,3.7718361439361967,0.3,5.401814516129033,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,VAR,Varrar and others,West flowing rivers South of Tapi Basin,Varrar and others,14164.6969417,0.4236111111111111,7.1878183325279155,3.0,1.2708333333333333,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,VAS,Vasishti and others,West flowing rivers South of Tapi Basin,Vasishti and others,27473.950096599998,3.0657894736842106,10.13157289211075,3.0,9.197368421052632,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,WAR,Wardha,Godavari Basin,Wardha,46242.0943756,4.6375,3.5202358227384103,0.7590805008600345,3.5202358227384103,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,WEI,Weinganga,Godavari Basin,Weinganga,49695.4011135,4.030405405405405,3.8995187571728085,0.9675251903798419,3.8995187571728085,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,YAL,Yamuna Lower,Ganga Basin,Yamuna Lower,124867.188956,0.13851351351351351,3.106159726015862,3.0,0.41554054054054057,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,YAM,Yamuna Middle,Ganga Basin,Yamuna Middle,34586.3897844,0.0,2.4679567441325005,1.0,0.0,0.0,NO ALERT,NO ALERT,20260921,12
subbasin,YAU,Yamuna Upper,Ganga Basin,Yamuna Upper,35798.1884585,0.20089285714285712,3.100061343605548,3.0,0.6026785714285714,0.0,NO ALERT,NO ALERT,20260921,12
